"VR","Version 2.0","","","","","","","","","","","","","","","","",""
"HD","Job ID","Job Name","Sheet Set Name","Category Name","Date and Time Started","Date and Time Completed","USERID","Profile ID","SheetName","Full File Path","Selected Layout Name","Page Setup Name","Named Page Setup Path","Device Name","Plot File Path","Paper Size Name","Plotted to 3DDWF","Final Status"
"SH","12","","","","9/5/2018 4:00:46 PM","9/5/2018 4:01:13 PM","","","3893_BD1-S-1.4","G:\63893\Building\3893_BD1.dwg","S-1.4","OCE 30x42","","DWG To PDF.pc3","C:\Users\dngo\Desktop\GGGG.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"SH","12","","","","9/5/2018 4:01:13 PM","9/5/2018 4:03:08 PM","","","3893_BD2-4-S-2.1","G:\63893\Building\3893_BD2-4.dwg","S-2.1","OCE 30x42","","DWG To PDF.pc3","C:\Users\dngo\Desktop\GGGG.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"SH","12","","","","9/5/2018 4:03:08 PM","9/5/2018 4:04:14 PM","","","3893_BD2-4-S-2.2","G:\63893\Building\3893_BD2-4.dwg","S-2.2","OCE 30x42","","DWG To PDF.pc3","C:\Users\dngo\Desktop\GGGG.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"SH","12","","","","9/5/2018 4:04:14 PM","9/5/2018 4:05:25 PM","","","3893_BD2-4-S-2.3","G:\63893\Building\3893_BD2-4.dwg","S-2.3","OCE 30x42","","DWG To PDF.pc3","C:\Users\dngo\Desktop\GGGG.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"SH","12","","","","9/5/2018 4:05:25 PM","9/5/2018 4:06:38 PM","","","3893_BD2-4-S-2.4","G:\63893\Building\3893_BD2-4.dwg","S-2.4","OCE 30x42","","DWG To PDF.pc3","C:\Users\dngo\Desktop\GGGG.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"SH","12","","","","9/5/2018 4:06:38 PM","9/5/2018 4:07:40 PM","","","3893_BD3-S-3.1","G:\63893\Building\3893_BD3.dwg","S-3.1","OCE 30x42","","DWG To PDF.pc3","C:\Users\dngo\Desktop\GGGG.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"SH","12","","","","9/5/2018 4:07:40 PM","9/5/2018 4:08:50 PM","","","3893_BD3-S-3.2","G:\63893\Building\3893_BD3.dwg","S-3.2","OCE 30x42","","DWG To PDF.pc3","C:\Users\dngo\Desktop\GGGG.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"SH","12","","","","9/5/2018 4:08:50 PM","9/5/2018 4:10:09 PM","","","3893_BD3-S-3.3","G:\63893\Building\3893_BD3.dwg","S-3.3","OCE 30x42","","DWG To PDF.pc3","C:\Users\dngo\Desktop\GGGG.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"SH","12","","","","9/5/2018 4:10:09 PM","9/5/2018 4:11:27 PM","","","3893_BD3-S-3.4","G:\63893\Building\3893_BD3.dwg","S-3.4","OCE 30x42","","DWG To PDF.pc3","C:\Users\dngo\Desktop\GGGG.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"SH","12","","","","9/5/2018 4:11:27 PM","9/5/2018 4:12:56 PM","","","3893_BD5-S-5.1","G:\63893\Building\3893_BD5.dwg","S-5.1","OCE 30x42","","DWG To PDF.pc3","C:\Users\dngo\Desktop\GGGG.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
"SH","12","","","","9/5/2018 4:12:56 PM","9/5/2018 4:13:53 PM","","","3893_BD5-S-5.2","G:\63893\Building\3893_BD5.dwg","S-5.2","OCE 30x42","","DWG To PDF.pc3","C:\Users\dngo\Desktop\GGGG.pdf","ARCH full bleed E1 (30.00 x 42.00 Inches)","0","Plotted"
